review_text,review_label
"Average performance, expected more.",neutral
Satisfactory for the price.,neutral
Works like a charm. Amazing quality and value.,good
Excellent product! Highly recommend! Five stars!,good
Totally unreliable. Terrible experience. Do not buy this.,worst
It works okay but nothing special.,neutral
Five stars! Works like a charm. Five stars!,good
Broke in two days. Completely useless. Do not buy this. Cheap quality. Waste of money. Cheap quality.,worst
Totally unreliable. Very disappointed. Terrible experience.,worst
Satisfactory for the price.,neutral
"Neutral experience, nothing to complain.",neutral
"Not bad, but not great either.",neutral
Works like a charm. Five stars! Good value for money.,good
Worst product ever! Broke in two days. Very disappointed. Waste of money. Very disappointed.,worst
Very disappointed. Completely useless. Broke in two days.,worst
"Not bad, but not great either.",neutral
Perfect for my needs. Amazing quality and value. Highly recommend! Very useful and easy to use. Works like a charm.,good
Excellent product! Very useful and easy to use. Superb performance! Good value for money. Highly recommend! Highly recommend!,good
Waste of money. Completely useless. Completely useless.,worst
Very useful and easy to use. Amazing quality and value. Five stars! Highly recommend!,good
Perfect for my needs. Highly recommend! Superb performance! Amazing quality and value. Very useful and easy to use.,good
Very useful and easy to use. Amazing quality and value. Five stars! Perfect for my needs. Amazing quality and value.,good
"Neutral experience, nothing to complain.",neutral
Totally unreliable. Very disappointed. Worst product ever! Waste of money. Regret buying this.,worst
Broke in two days. Regret buying this. Terrible experience.,worst
Totally unreliable. Broke in two days. Regret buying this. Waste of money. Broke in two days.,worst
Superb performance! Highly recommend! Loved it. Good value for money. Works like a charm.,good
Satisfactory for the price.,neutral
Highly recommend! Excellent product! Good value for money. Perfect for my needs. Very useful and easy to use.,good
Five stars! Five stars!,good
"Average performance, expected more.",neutral
Highly recommend! Works like a charm. Amazing quality and value.,good
Superb performance!,good
Satisfactory for the price.,neutral
Good value for money. Perfect for my needs. Amazing quality and value. Excellent product!,good
Perfect for my needs. Excellent product! Superb performance!,good
Worst product ever! Worst product ever! Worst product ever!,worst
Regret buying this. Regret buying this. Broke in two days. Totally unreliable. Regret buying this. Do not buy this.,worst
Superb performance! Highly recommend! Five stars! Loved it.,good
Cheap quality. Do not buy this.,worst
"Not bad, but not great either.",neutral
It works okay but nothing special.,neutral
Works like a charm. Amazing quality and value.,good
Waste of money.,worst
Five stars! Very useful and easy to use.,good
Waste of money. Completely useless. Regret buying this. Broke in two days. Worst product ever! Worst product ever!,worst
Broke in two days.,worst
Do not buy this. Waste of money. Do not buy this. Waste of money. Waste of money. Very disappointed.,worst
Waste of money. Waste of money. Totally unreliable. Totally unreliable.,worst
Waste of money. Cheap quality.,worst
"Neutral experience, nothing to complain.",neutral
Totally unreliable.,worst
Good value for money. Perfect for my needs. Loved it.,good
Regret buying this. Broke in two days.,worst
"Neutral experience, nothing to complain.",neutral
Good value for money.,good
Perfect for my needs. Five stars! Works like a charm.,good
Superb performance! Works like a charm. Excellent product!,good
Totally unreliable. Worst product ever!,worst
Amazing quality and value. Amazing quality and value. Five stars! Works like a charm. Good value for money. Highly recommend!,good
Good value for money. Works like a charm. Amazing quality and value. Loved it. Five stars!,good
"Neutral experience, nothing to complain.",neutral
Superb performance! Five stars! Works like a charm. Amazing quality and value.,good
"Average performance, expected more.",neutral
Five stars! Amazing quality and value. Very useful and easy to use. Superb performance! Five stars! Excellent product!,good
Excellent product! Excellent product! Five stars! Good value for money.,good
Very disappointed. Very disappointed. Waste of money. Cheap quality. Waste of money. Regret buying this.,worst
It works okay but nothing special.,neutral
Very disappointed. Regret buying this.,worst
Waste of money. Waste of money. Terrible experience.,worst
Very useful and easy to use.,good
Cheap quality. Totally unreliable.,worst
Good value for money. Loved it. Good value for money. Works like a charm. Highly recommend! Superb performance!,good
Excellent product! Amazing quality and value. Very useful and easy to use.,good
Superb performance! Very useful and easy to use. Superb performance! Loved it. Excellent product!,good
Cheap quality. Waste of money. Cheap quality. Regret buying this. Terrible experience. Totally unreliable.,worst
Good value for money. Excellent product! Superb performance! Loved it.,good
"Neutral experience, nothing to complain.",neutral
Loved it. Five stars! Superb performance! Amazing quality and value. Five stars! Loved it.,good
Totally unreliable. Completely useless. Terrible experience.,worst
Good value for money. Very useful and easy to use.,good
Waste of money. Broke in two days.,worst
Satisfactory for the price.,neutral
Very disappointed.,worst
Satisfactory for the price.,neutral
"Neutral experience, nothing to complain.",neutral
Regret buying this.,worst
Satisfactory for the price.,neutral
Works like a charm. Highly recommend! Highly recommend!,good
Perfect for my needs. Five stars! Works like a charm.,good
Waste of money. Do not buy this. Worst product ever! Very disappointed. Totally unreliable. Totally unreliable.,worst
It works okay but nothing special.,neutral
Totally unreliable. Very disappointed. Terrible experience.,worst
Worst product ever! Terrible experience. Completely useless. Cheap quality. Do not buy this. Regret buying this.,worst
Works like a charm. Five stars! Amazing quality and value. Superb performance! Excellent product!,good
Worst product ever! Regret buying this. Terrible experience. Totally unreliable. Completely useless. Regret buying this.,worst
Broke in two days. Do not buy this. Do not buy this. Very disappointed. Waste of money. Very disappointed.,worst
Very useful and easy to use. Perfect for my needs. Superb performance! Highly recommend!,good
"Neutral experience, nothing to complain.",neutral
Waste of money. Regret buying this. Worst product ever!,worst
Excellent product! Loved it. Very useful and easy to use.,good
It works okay but nothing special.,neutral
Do not buy this. Worst product ever! Completely useless. Cheap quality.,worst
Works like a charm. Highly recommend! Perfect for my needs. Excellent product! Perfect for my needs.,good
Terrible experience. Regret buying this. Waste of money. Completely useless.,worst
Loved it. Excellent product!,good
Perfect for my needs. Excellent product! Superb performance!,good
"Not bad, but not great either.",neutral
Satisfactory for the price.,neutral
Completely useless.,worst
Worst product ever! Worst product ever! Terrible experience.,worst
Good value for money. Very useful and easy to use. Superb performance!,good
Excellent product! Excellent product! Excellent product! Highly recommend!,good
"Average performance, expected more.",neutral
"Neutral experience, nothing to complain.",neutral
Waste of money. Regret buying this. Worst product ever!,worst
"Not bad, but not great either.",neutral
Very disappointed. Regret buying this. Totally unreliable. Very disappointed.,worst
Waste of money.,worst
Very useful and easy to use. Superb performance! Perfect for my needs. Very useful and easy to use. Perfect for my needs.,good
Satisfactory for the price.,neutral
"Not bad, but not great either.",neutral
"Neutral experience, nothing to complain.",neutral
Broke in two days. Regret buying this. Terrible experience.,worst
Good value for money. Good value for money.,good
Very disappointed. Completely useless. Worst product ever! Regret buying this. Cheap quality. Terrible experience.,worst
Broke in two days. Do not buy this. Do not buy this. Very disappointed. Waste of money. Very disappointed.,worst
Broke in two days. Terrible experience. Do not buy this. Cheap quality.,worst
"Not bad, but not great either.",neutral
It works okay but nothing special.,neutral
"Average performance, expected more.",neutral
Regret buying this. Broke in two days. Worst product ever! Do not buy this. Regret buying this.,worst
